Time,Epoch,Step,Loss
2022-06-14 20:25:35,0,0,1.229355
2022-06-14 20:26:02,0,1,1.106556
2022-06-14 20:26:02,0,2,1.406058
2022-06-14 20:26:09,0,3,1.427826
2022-06-14 20:26:09,0,4,1.150533
2022-06-14 20:26:10,0,5,1.085905
2022-06-14 20:26:16,0,6,1.438226
2022-06-14 20:26:22,0,7,1.208352
2022-06-14 20:26:22,0,8,0.981314
2022-06-14 20:26:28,0,9,1.062480
2022-06-14 20:26:35,0,10,1.126037
2022-06-14 20:26:41,0,11,1.086366
2022-06-14 20:26:42,1,12,1.252966
2022-06-14 20:26:43,1,13,1.045154
2022-06-14 20:26:43,1,14,1.197125
2022-06-14 20:26:44,1,15,1.290693
2022-06-14 20:26:44,1,16,1.214822
2022-06-14 20:26:45,1,17,1.029848
2022-06-14 20:26:45,1,18,1.106477
2022-06-14 20:26:46,1,19,0.924583
2022-06-14 20:26:46,1,20,1.169925
2022-06-14 20:26:47,1,21,0.955675
2022-06-14 20:26:47,1,22,1.067162
2022-06-14 20:26:48,1,23,1.156739
2022-06-14 20:26:49,2,24,1.038501
2022-06-14 20:26:49,2,25,0.887716
2022-06-14 20:26:50,2,26,1.067305
2022-06-14 20:26:50,2,27,0.907452
2022-06-14 20:26:56,2,28,1.150634
2022-06-14 20:26:57,2,29,1.372703
2022-06-14 20:26:58,2,30,1.097903
2022-06-14 20:26:58,2,31,1.009366
2022-06-14 20:26:59,2,32,1.041216
2022-06-14 20:26:59,2,33,1.068267
2022-06-14 20:27:00,2,34,1.205795
2022-06-14 20:27:00,2,35,0.978770
2022-06-14 20:27:01,3,36,0.996938
2022-06-14 20:27:01,3,37,0.955971
2022-06-14 20:27:02,3,38,1.171400
2022-06-14 20:27:03,3,39,1.068409
2022-06-14 20:27:03,3,40,0.959755
2022-06-14 20:27:04,3,41,0.918469
2022-06-14 20:27:04,3,42,1.067400
2022-06-14 20:27:05,3,43,1.187677
2022-06-14 20:27:05,3,44,1.027670
2022-06-14 20:27:12,3,45,0.934069
2022-06-14 20:27:18,3,46,1.107754
2022-06-14 20:27:25,3,47,1.014186
2022-06-14 20:27:26,4,48,1.175815
2022-06-14 20:27:26,4,49,1.212153
2022-06-14 20:27:27,4,50,0.967804
2022-06-14 20:27:33,4,51,0.771545
2022-06-14 20:27:39,4,52,0.832154
2022-06-14 20:27:40,4,53,0.842588
2022-06-14 20:27:40,4,54,1.023087
2022-06-14 20:27:41,4,55,0.950454
2022-06-14 20:27:42,4,56,1.406787
2022-06-14 20:27:42,4,57,0.841411
2022-06-14 20:27:43,4,58,0.831705
2022-06-14 20:27:43,4,59,0.734137
2022-06-14 20:27:44,5,60,0.885948
2022-06-14 20:27:44,5,61,0.852225
2022-06-14 20:27:45,5,62,0.886411
2022-06-14 20:27:45,5,63,0.903635
2022-06-14 20:27:46,5,64,1.274120
2022-06-14 20:27:46,5,65,0.809107
2022-06-14 20:27:47,5,66,0.772868
2022-06-14 20:27:48,5,67,0.892250
2022-06-14 20:27:48,5,68,0.833908
2022-06-14 20:27:49,5,69,0.957116
2022-06-14 20:27:49,5,70,0.998286
2022-06-14 20:27:50,5,71,0.876797
2022-06-14 20:27:51,6,72,0.837856
2022-06-14 20:27:51,6,73,0.690200
2022-06-14 20:27:52,6,74,0.651630
2022-06-14 20:27:53,6,75,0.918328
2022-06-14 20:27:53,6,76,0.883733
2022-06-14 20:27:54,6,77,0.789564
2022-06-14 20:27:54,6,78,0.890204
2022-06-14 20:27:55,6,79,0.719822
2022-06-14 20:27:55,6,80,0.813609
2022-06-14 20:27:56,6,81,1.276277
2022-06-14 20:27:56,6,82,0.565832
2022-06-14 20:28:04,6,83,0.851126
2022-06-14 20:28:04,7,84,1.092299
2022-06-14 20:28:05,7,85,0.953916
2022-06-14 20:28:05,7,86,0.653825
2022-06-14 20:28:06,7,87,0.631154
2022-06-14 20:28:13,7,88,0.648057
2022-06-14 20:28:13,7,89,0.757987
2022-06-14 20:28:14,7,90,0.766293
2022-06-14 20:28:14,7,91,0.799805
2022-06-14 20:28:15,7,92,0.676953
2022-06-14 20:28:15,7,93,0.736814
2022-06-14 20:28:16,7,94,0.998206
2022-06-14 20:28:16,7,95,0.775171
2022-06-14 20:28:17,8,96,0.787428
2022-06-14 20:28:24,8,97,0.572973
2022-06-14 20:28:24,8,98,0.756110
2022-06-14 20:28:25,8,99,0.901781
2022-06-14 20:28:25,8,100,0.686587
2022-06-14 20:28:32,8,101,0.679389
2022-06-14 20:28:32,8,102,0.982320
2022-06-14 20:28:33,8,103,0.673784
2022-06-14 20:28:40,8,104,0.664151
2022-06-14 20:28:40,8,105,0.597334
2022-06-14 20:28:41,8,106,0.706682
2022-06-14 20:28:41,8,107,0.791947
2022-06-14 20:28:42,9,108,0.439010
2022-06-14 20:28:43,9,109,0.784355
2022-06-14 20:28:43,9,110,0.638855
2022-06-14 20:28:44,9,111,0.858885
2022-06-14 20:28:44,9,112,0.860511
2022-06-14 20:28:45,9,113,0.484631
2022-06-14 20:28:45,9,114,0.657713
2022-06-14 20:28:52,9,115,0.636427
2022-06-14 20:29:00,9,116,0.649501
2022-06-14 20:29:06,9,117,0.716530
2022-06-14 20:29:06,9,118,0.868910
2022-06-14 20:29:07,9,119,0.594930
2022-06-14 20:29:08,10,120,0.788335
2022-06-14 20:29:08,10,121,0.866875
2022-06-14 20:29:09,10,122,0.438012
2022-06-14 20:29:09,10,123,0.707009
2022-06-14 20:29:10,10,124,0.585491
2022-06-14 20:29:10,10,125,0.513263
2022-06-14 20:29:11,10,126,0.371224
2022-06-14 20:29:11,10,127,0.692484
2022-06-14 20:29:12,10,128,0.903331
2022-06-14 20:29:13,10,129,0.581720
2022-06-14 20:29:13,10,130,0.604966
2022-06-14 20:29:14,10,131,0.581033
2022-06-14 20:29:20,11,132,0.516187
2022-06-14 20:29:21,11,133,0.608857
